codigo;tipo;titulo;capitulo;secuencia;FEN;bando_que_mueve;objetivo;nivel;comentario_blancas;comentario_negras;continuidad_didactica;referencia_en_manual
CKN-P11;ficha;Fantasy: no capturar por reflejo;Ampliación A;1.e4 c6 2.d4 d5 3.f3 e6;rnbqkbnr/pp3ppp/2p1p3/3p4/3PP3/5P2/PPP3PP/RNBQKBNR w KQkq - 0 4;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Blancas sostienen e4 y sueñan con e5/f4.;Negras usan ...e6 para mantener d5 y no abrir líneas cuando el rival tiene más peones en el centro.;Desarrollar ...Cf6 y cuestionar e5 en buenas condiciones.;CKN-P11
CKN-P12;ficha;Dos caballos: desarrollo activo;Ampliación A;1.e4 c6 2.Cf3 d5 3.Cc3 Ag4 4.h3 Axf3 5.Dxf3 e6;rn1qkbnr/pp3ppp/2p1p3/3p4/4P3/2N2Q1P/PPPP1PP1/R1B1KB1R w KQkq - 0 6;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Blancas retrasan d4 y desarrollan rápido.;Negras clavan con ...Ag4, aclaran el alfil y después juegan ...e6 sin perder su pieza activa.;Volver al plan base: desarrollo, rey seguro, ...c5.;CKN-P12
CKN-S01;estructura;En CKN-S01, tras el cambio de damas y con un caballo negro instalado en e4, compara el plan blanco 19.Ae3 con 19.Cxe4. ¿Qué quiere conservar negras?;Parte VIII;;r4rk1/pp2bpp1/2p1p2p/4N2P/2PPn3/6N1/PP1B1PP1/1K1R3R w - - 0 19;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;CKN-S01
CKN-S02;estructura;En CKN-S02, el caballo g8 no puede ir cómodamente a f6. Elige entre ...Cge7 y ...Ch6 como plan de desarrollo y justifica la ruta posterior.;Parte VIII;;r2qkb1r/pp2nppp/2n1p3/3pPb2/3P4/5N2/PP2BPPP/RNBQ1RK1 w kq - 0 9;Blancas;"11.a3 Ae7 conserva el alfil y completa desarrollo. El peón d4 solo será un objetivo estable si las blancas pierden actividad. Atacarlo antes con ...Db6 puede permitir Ae3 y d5 con tiempos; primero se bloquea y se termina el desarrollo.";800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;CKN-S02
CKN-S03;estructura;En CKN-S03, con la columna c abierta y ambas coronas seguras, compara 16.Dd2 y 16.a3 para blancas. ¿Qué respuesta negra coordina mejor las piezas?;Parte VIII;;2rq1rk1/pp1n1ppp/2n1p3/3pPb2/3P4/4BN2/PP2BPPP/2RQ1RK1 w - - 0 16;Blancas;"11.a3 Ae7 conserva el alfil y completa desarrollo. El peón d4 solo será un objetivo estable si las blancas pierden actividad. Atacarlo antes con ...Db6 puede permitir Ae3 y d5 con tiempos; primero se bloquea y se termina el desarrollo.";800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;CKN-S03
CKN-S04;estructura;En CKN-S04, después de 10...Cf6, compara 11.a3 y 11.Ae3. ¿Por qué el modelo acepta 11.a3 Ae7 sin intentar ganar d4 ya?;Parte VIII;;r1bq1rk1/pp3ppp/2n1pn2/8/1b1P4/2NB1N2/PP1B1PPP/R2Q1RK1 w - - 0 11;Blancas;"11.a3 Ae7 conserva el alfil y completa desarrollo. El peón d4 solo será un objetivo estable si las blancas pierden actividad. Atacarlo antes con ...Db6 puede permitir Ae3 y d5 con tiempos; primero se bloquea y se termina el desarrollo.";800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;CKN-S04
CKN-S05;estructura;En la Variante del Cambio CKN-S05, blancas dispone de 6.Cf3 y 6.Af4. Propón un desarrollo negro que cree desequilibrio sin alterar la estructura de peones.;Parte VIII;;r1bqkb1r/pp2pppp/2n2n2/3p4/3P4/2PB4/PP3PPP/RNBQK1NR w KQkq - 0 6;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;CKN-S05
CKN-S06;estructura;En CKN-S06, la cadena blanca e5-d4 ya está fijada. ¿Por qué ...c5 es una candidata más urgente que ...f6?;Parte VIII;;rnbqkb1r/pp1n1ppp/2p1p3/3pP3/3P4/2N2P2/PPP3PP/R1BQKBNR w KQkq - 0 6;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;CKN-S06
CKN-M01-P4;partida_modelo;En CKN-M01-P4, negras acaba de jugar ...De4+. ¿Cuál es la respuesta blanca más precisa y qué obtiene negras después?;Parte X/XI/XIII;;r4rk1/pp2bpp1/2p1pn1p/4N2P/2PPq3/6N1/PP1BQPP1/1K1R3R w - - 0 18;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;CKN-M01-P4
CKN-M01-P1;partida_modelo;Vuelve a CKN-M01-P1: tras 4...Af5, las blancas juegan 5.Cg3. ¿Por qué 5...Ag6 es superior al retroceso 5...Ac8 desde el punto de vista del repertorio?;Parte X/XI/XIII;;rn1qkbnr/pp2pppp/2p5/5b2/3PN3/8/PPP2PPP/R1BQKBNR w KQkq - 0 5;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;CKN-M01-P1
CKN-M01-P2;partida_modelo;En CKN-M01-P2, las blancas juegan 9.Ad3. ¿Deben las negras preservar el alfil con ...Ag8 o cambiar con ...Axd3?;Parte X/XI/XIII;;r2qkbnr/pp1npppb/2p4p/7P/3P4/5NN1/PPP2PP1/R1BQKB1R w KQkq - 0 9;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;CKN-M01-P2
CKN-M01-P3;partida_modelo;En CKN-M01-P3, las blancas han enrocado largo y juega 13.Rb1. Compara ...O-O con ...h5 como respuesta negra.;Parte X/XI/XIII;;r2qk2r/pp1nbpp1/2p1pn1p/7P/3P4/3Q1NN1/PPPB1PP1/2KR3R w kq - 0 13;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;CKN-M01-P3
CKN-M01-P5;partida_modelo;En CKN-M01-P5, compara 23.b3 con un cambio inmediato Cxe4. ¿Qué plan negro aparece después de la jugada tranquila?;Parte X/XI/XIII;;r5k1/pp1r2p1/2p1pb1p/4Np1P/2PPnP2/4B1N1/PPK3P1/3RR3 w - - 0 23;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;CKN-M01-P5
CKN-M02-P1;partida_modelo;En CKN-M02-P1, compara 4.Cf3 y 4.h4 desde la perspectiva de negras. Da una respuesta específica a cada una.;Parte X/XI/XIII;;rn1qkbnr/pp2pppp/2p5/3pPb2/3P4/8/PPP2PPP/RNBQKBNR w KQkq - 0 4;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;CKN-M02-P1
CKN-M02-P2;partida_modelo;En CKN-M02-P2, después de 7...cxd4, compara las recapturas 8.cxd4 y 8.Cxd4. ¿Cuál conserva mejor la estructura blanca y qué maniobra negra sigue en el modelo?;Parte X/XI/XIII;;r2qkbnr/pp3ppp/2n1p3/3pPb2/3p4/2P2N2/PP2BPPP/RNBQ1RK1 w kq - 0 8;Blancas;Reconocer la decisión crítica y conectar apertura, estructura y plan.;800-1400 Elo;Consulta la lectura bilateral y las candidatas específicas de esta posición en el manual.;Consulta la respuesta activa del rival y la ruptura asociada en el manual.;Reproducir la posición, elegir dos candidatas y comparar con la continuación del manual.;CKN-M02-P2
