codigo,tipo,titulo,capítulo,secuencia,FEN,bando_que_mueve,objetivo,nivel,comentario_blancas,comentario_negras,continuidad_didactica,referencia_en_manual
RAR-P11,ficha,Nimzowitsch · 1.Cc3 d5,Ampliación A,b1c3 d7d5,rnbqkbnr/ppp1pppp/8/3p4/8/2N5/PPPPPPPP/R1BQKBNR w KQkq d6 0 2,Blancas,Comprender la decisión concreta de la posición,base,d4/e4 y desarrollo rápido.,"...d5, ...Cf6, ...e6/c5 según centro.",1.Cc3 d5 2.d4 Cf6 3.Af4 c5. | Tratar Cc3 como una pieza que debe expulsarse en vez de completar desarrollo.,RAR-P11
RAR-P12,ficha,Fianchetto · 1.g3 e5,Ampliación A,g2g3 e7e5 f1g2 d7d5 d2d3 g8f6 g1f3 b8c6 e1g1 f8e7,r1bqk2r/ppp1bppp/2n2n2/3pp3/8/3P1NP1/PPP1PPBP/RNBQ1RK1 w kq - 5 6,Blancas,Comprender la decisión concreta de la posición,base,"Ag2, d3, Cf3, O-O y c4/e4.","...e5, ...d5, ...Cf6, ...Cc6, ...Ae7, O-O.",1.g3 e5 2.Ag2 d5 3.d3 Cf6 4.Cf3 Cc6 5.O-O Ae7. | Creer que el centro grande justifica un ataque antes de enrocar.,RAR-P12
RAR-S01,estructura,Inglesa: Siciliana con colores cambiados,Parte VIII,c2c4 e7e5 b1c3 g8f6 g2g3 d7d5 c4d5 f6d5 f1g2 d5b6 g1f3 b8c6,r1bqkb1r/ppp2ppp/1nn5/4p3/8/2N2NP1/PP1PPPBP/R1BQK2R w KQkq - 4 7,Blancas,"Reconocer estructura, casilla crítica y ruptura",intermedio,"Fianchettar Ag2, enrocar, jugar d3 y buscar d4 o una maniobra Ce4-c5/d6. Si las negras colocan piezas pasivamente, el espacio del centro se convierte en objetivos.","Completar ...Cc6, ...Ae7 y ...O-O; si el blanco juega d3/e3, preparar ...Te8 y ...Af8. La ruptura ...d5 ya se ha realizado: el siguiente objetivo es impedir que un caballo blanco se instale en d5.","Casilla: d5. Si las blancas ocupan d5 con una pieza sin poder ser expulsada por ...c6 o ...Ae6, la ventaja espacial negra pierde valor. | Ruptura: ...d5 es la ruptura de liberación inicial; después, ...c6 o ...f5 solo si las piezas están coordinadas. ...f5 con el rey en e8 es un error práctico frecuente.",RAR-S01
RAR-S02,estructura,Réti: centro d5-e5,Parte VIII,g1f3 d7d5 g2g3 g8f6 f1g2 g7g6 e1g1 f8g7 d2d3 e8g8 b1d2 c7c5 e2e4 b8c6,r1bq1rk1/pp2ppbp/2n2np1/2pp4/4P3/3P1NP1/PPPN1PBP/R1BQ1RK1 w - - 1 8,Blancas,"Reconocer estructura, casilla crítica y ruptura",intermedio,"Preparar c3 y d4, o cerrar con e4 y maniobrar Cf1-e3. El fianchetto Ag2 presiona el centro si las negras avanzan sin apoyo.","Enrocar primero; después ...Cc6 y ...e5 si el caballo f6 sostiene d5. Cuando el blanco juega c3, ...d4 gana espacio solo si no entrega c4/e4 a un caballo.","Casilla: d4. Un peón negro en d4 gana espacio, pero c4/e4 se convierten en casillas de bloqueo; si el blanco instala Cc4, la expansión puede quedar fijada. | Ruptura: ...d4 cuando c3 ha comprometido al blanco; ...e5 para fijar e4; más tarde ...f5 solo con rey seguro y piezas listas.",RAR-S02
RAR-S03,estructura,Bird: peón f adelantado,Parte VIII,f2f4 d7d5 g1f3 g8f6 e2e3 g7g6 b2b3 f8g7 c1b2 e8g8 f1e2 c7c5 e1g1 b8c6,r1bq1rk1/pp2ppbp/2n2np1/2pp4/5P2/1P2PN2/PBPPB1PP/RN1Q1RK1 w - - 2 8,Blancas,"Reconocer estructura, casilla crítica y ruptura",intermedio,"Instalar Ce5, apoyar d3/d4 y usar f5 para ganar espacio contra el rey. Si el centro negro queda fijo, Ab2 y Cf3 pueden concentrarse en e5/g7.","Enrocar, jugar ...c5 y ...Cc6; si el blanco juega d3, considerar ...d4 para limitar Ab2. Contra f5-f6, priorizar bloqueo y coordinación antes que capturar peones.","Casilla: e5. El peón f4 la controla; por eso un caballo blanco en e5 puede ser fuerte. Las negras deben decidir entre ...Cxe5, ...Cd7 o presión sobre d4. | Ruptura: ...c5 es el golpe principal contra d4; ...d4 puede fijar el centro cuando e3 ya está comprometido. ...e5 se reserva para posiciones donde no pierde d5.",RAR-S03
RAR-S04,estructura,Larsen: alfil b2 contra centro,Parte VIII,b2b3 e7e5 c1b2 b8c6 e2e3 g8f6 f1b5 f8d6 g1f3 e8g8 e1g1 f8e8 d2d4 e5e4,r1bqr1k1/pppp1ppp/2nb1n2/1B6/3Pp3/1P2PN2/PBP2PPP/RN1Q1RK1 w - - 0 8,Blancas,"Reconocer estructura, casilla crítica y ruptura",intermedio,"Atacar e5 con Ab2, Cf3 y d4; si ...e4 avanza, usar d4 y Ce5/d2 para atacar la cadena por su base.","Desarrollar ...Cc6, ...Cf6, ...Ad6, enrocar y solo entonces ...e4. Tras el salto del caballo blanco, sostener e4 con piezas y preparar ...d5.",Casilla: d4. El avance ...e4 deja d4 como punto de ruptura; las negras deben controlar esa casilla con ...d5 o ...Cc6. | Ruptura: ...e4 solo cuando gana un tiempo real sobre Cf3 y puede sostenerse; ...d5 completa el centro y evita que d4 sea un puesto avanzado gratuito.,RAR-S04
RAR-S05,estructura,Sokolsky: peón b4 como objetivo,Parte VIII,b2b4 e7e5 c1b2 f8b4 e2e3 d7d6 g1f3 g8f6 f1e2 e8g8 e1g1 b8c6 a2a3 b4a5 d2d4 e5d4,r1bq1rk1/ppp2ppp/2np1n2/b7/3p4/P3PN2/1BP1BPPP/RN1Q1RK1 w - - 0 9,Blancas,"Reconocer estructura, casilla crítica y ruptura",intermedio,"Recuperar tiempos sobre el alfil con a3, desarrollar Ab2 y usar d4 para cuestionar e5. El peón b avanzado busca espacio, no debe convertirse en una obsesión negra.","Ocupar e5, capturar b4 cuando sea seguro, jugar ...d6, ...Cf6 y enrocar. Tras a3 ...Aa5, responder a d4 con ...exd4 si abre líneas para las piezas.",Casilla: d4. Es la ruptura que puede castigar el tiempo gastado por el alfil negro; ...exd4 debe calcularse con el desarrollo. | Ruptura: ...d5 o ...exd4 según el orden. Evita ...a5 y ...b6 como persecución automática mientras el rey siga en e8.,RAR-S05
RAR-S06,estructura,Irregulares: centro clásico,Parte VIII,g2g3 e7e5 f1g2 d7d5 d2d3 g8f6 g1f3 b8c6 e1g1 f8e7,r1bqk2r/ppp1bppp/2n2n2/3pp3/8/3P1NP1/PPP1PPBP/RNBQ1RK1 w kq - 5 6,Blancas,"Reconocer estructura, casilla crítica y ruptura",intermedio,"Atacar el centro con c4/d4 o fianchettar Ag2. Al no haber definido el peón c/d, el blanco conserva transposiciones; las negras deben responder a la estructura, no al nombre.","Desarrollar ...Cf6, ...Cc6, ...Ae7 y enrocar. Mantener la opción ...d4 contra c3/e3 o ...e4 contra Cf3 solo si el avance gana tiempo.","Casilla: d4. Si el blanco rompe ahí en buenas condiciones, el centro negro puede disolverse; si ...d4 está bien preparado, gana espacio y limita Cc3. | Ruptura: ...d4 cuando el blanco ha jugado c3/e3; ...e4 cuando Cf3 puede ser expulsado y d4 está controlada.",RAR-S06
RAR-M01-P1,parada,Parada 1,Parte X · RAR-M01,c2c4 e7e5 b1c3 g8f6 g2g3 d7d5,rnbqkb1r/ppp2ppp/5n2/3pp3/2P5/2N3P1/PP1PPP1P/R1BQKBNR w KQkq d6 0 4,Blancas,"tras 3...d5, ¿qué cambia si las blancas capturan en d5 y con qué pieza debe recapturar el negro?",intermedio,Plan rival a anticipar: Tras 3...d5 las negras desafían c4 y aprovechan que el caballo f6 ya controla e4/d5.,"Respuesta de repertorio: Tras 3...d5 las negras desafían c4 y aprovechan que el caballo f6 ya controla e4/d5. Si 4.cxd5, la recaptura 4...Cxd5 desarrolla con tiempo y evita una dama temprana en d5. El plan blanco es Ag2 y presión sobre d5/e5; el negro quiere retirar el caballo a b6 si es atacado, completar ...Cc6 y enrocar. 4...Dxd5?! sería inferior porque expone la dama a Cxd5/e4 y regala tiempos de desarrollo.",Parada específica sincronizada con la partida modelo y el manual.,RAR-M01-P1
RAR-M01-P2,parada,Parada 2,Parte X · RAR-M01,c2c4 e7e5 b1c3 g8f6 g2g3 d7d5 c4d5 f6d5 f1g2 d5b6 g1f3 b8c6,r1bqkb1r/ppp2ppp/1nn5/4p3/8/2N2NP1/PP1PPPBP/R1BQK2R w KQkq - 4 7,Blancas,"con el caballo negro ya en b6 y ambos caballos desarrollados, ¿qué casilla debe vigilar el negro antes de enrocar?",intermedio,Plan rival a anticipar: La casilla d5 es el termómetro.,Respuesta de repertorio: La casilla d5 es el termómetro. Las blancas pueden preparar d4 o Ce4-c5; por eso 7...Ae7 y 8...O-O son más importantes que una expansión con ...f5. El caballo c6 sostiene d4 y e5; el de b6 deja libre d5 pero puede volver a d5/c4. El plan blanco es Ae3/Tc1; el negro debe responder con ...Te8 y ...Af8. ...f5?! aquí crea debilidades sin haber terminado el desarrollo.,Parada específica sincronizada con la partida modelo y el manual.,RAR-M01-P2
RAR-M01-P3,parada,Parada 3,Parte X · RAR-M01,c2c4 e7e5 b1c3 g8f6 g2g3 d7d5 c4d5 f6d5 f1g2 d5b6 g1f3 b8c6 e1g1 f8e7 d2d3 e8g8 c1e3 f8e8 a1c1 e7f8,r1bqrbk1/ppp2ppp/1nn5/4p3/8/2NPBNP1/PP2PPBP/2RQ1RK1 w - - 5 11,Blancas,"después de Tc1 y ...Af8, ¿qué respuesta negra concreta debes prever frente a Ce4?",intermedio,Plan rival a anticipar: 11.Ce4 busca c5/d6 y toca el centro.,"Respuesta de repertorio: 11.Ce4 busca c5/d6 y toca el centro. La respuesta 11...Cd4 ocupa una casilla fuerte, desafía el caballo f3 y obliga al blanco a decidir. Si 12.Cxd4 exd4, el peón negro de d4 gana espacio y abre la columna e para la torre. Una jugada lenta como ...h6 permitiría Ce4-c5 y consolidaría una pieza blanca en una casilla de entrada.",Parada específica sincronizada con la partida modelo y el manual.,RAR-M01-P3
RAR-M01-P4,parada,Parada 4,Parte X · RAR-M01,c2c4 e7e5 b1c3 g8f6 g2g3 d7d5 c4d5 f6d5 f1g2 d5b6 g1f3 b8c6 e1g1 f8e7 d2d3 e8g8 c1e3 f8e8 a1c1 e7f8 c3e4 c6d4 f3d4 e5d4 e3f4 c7c6 e4c5 b6d5,r1bqrbk1/pp3ppp/2p5/2Nn4/3p1B2/3P2P1/PP2PPBP/2RQ1RK1 w - - 2 15,Blancas,"tras ...c6 y Cc5, ¿por qué ...Cd5 es preferible a perseguir el caballo con ...b6 inmediatamente?",intermedio,Plan rival a anticipar: El caballo blanco en c5 presiona b7/d7 y puede saltar e4.,"Respuesta de repertorio: El caballo blanco en c5 presiona b7/d7 y puede saltar e4. 14...Cd5 centraliza una pieza, cubre b4/f4 y prepara ...a5/...b6 en mejores condiciones. ...b6 inmediato expulsaría al caballo, pero debilita casillas oscuras y no mejora la pieza peor colocada. El blanco quiere Cc5-e4; el negro debe coordinar primero y solo después ganar espacio en el ala de dama.",Parada específica sincronizada con la partida modelo y el manual.,RAR-M01-P4
RAR-M01-P5,parada,Parada 5,Parte X · RAR-M01,c2c4 e7e5 b1c3 g8f6 g2g3 d7d5 c4d5 f6d5 f1g2 d5b6 g1f3 b8c6 e1g1 f8e7 d2d3 e8g8 c1e3 f8e8 a1c1 e7f8 c3e4 c6d4 f3d4 e5d4 e3f4 c7c6 e4c5 b6d5 f4d2 a7a5 f1e1 b7b6 c5e4 c6c5 a2a3 c8e6,r2qrbk1/5ppp/1p2b3/p1pn4/3pN3/P2P2P1/1P1BPPBP/2RQR1K1 w - - 1 19,Blancas,"con peones negros en a5-b6-c5-d4 y piezas coordinadas, ¿qué transición de final favorece al negro?",intermedio,Plan rival a anticipar: El negro ya no necesita atacar al rey: su ventaja práctica es la cadena de peones y la casilla d5.,"Respuesta de repertorio: El negro ya no necesita atacar al rey: su ventaja práctica es la cadena de peones y la casilla d5. Si se cambian damas, la torre debe entrar por e-file y el rey acercarse a f7/e6 antes de empujar ...f5. El blanco buscará bloquear d4 y activar su rey. Cambiar piezas menores activas sin pensar puede ayudar al blanco; el cambio útil es el que conserva un bloqueador negro en d5 y deja una torre activa detrás de la cadena.",Parada específica sincronizada con la partida modelo y el manual.,RAR-M01-P5
RAR-M02-P1,parada,Parada 1,Parte X · RAR-M02,g1f3 d7d5 g2g3 g8f6 f1g2 g7g6,rnbqkb1r/ppp1pp1p/5np1/3p4/8/5NP1/PPPPPPBP/RNBQK2R w KQkq - 0 4,Blancas,"en la Réti, ¿por qué 4...Ag7 y el enroque son más urgentes que cerrar el centro?",intermedio,"Plan rival a anticipar: Tras 1.Cf3 d5 2.g3 Cf6 3.Ag2 g6, el blanco aún no ha definido c- ni e-pawn.","Respuesta de repertorio: Tras 1.Cf3 d5 2.g3 Cf6 3.Ag2 g6, el blanco aún no ha definido c- ni e-pawn. 4...Ag7 y 5...O-O mantienen todas las opciones: ...c5 contra d4, ...e5 contra e4 y ...d4 solo cuando c3 lo justifique. Jugar ...d4 demasiado pronto regalaría c4/e4 como puestos de caballo y fijaría el alfil g2 contra una cadena estable.",Parada específica sincronizada con la partida modelo y el manual.,RAR-M02-P1
RAR-M02-P2,parada,Parada 2,Parte X · RAR-M02,g1f3 d7d5 g2g3 g8f6 f1g2 g7g6 e1g1 f8g7 d2d3 e8g8 b1d2 c7c5,rnbq1rk1/pp2ppbp/5np1/2pp4/8/3P1NP1/PPPNPPBP/R1BQ1RK1 w - c6 0 7,Blancas,"después de ...c5 y antes de ...e5, ¿qué casilla blanca intentará ocupar un caballo?",intermedio,Plan rival a anticipar: La casilla c4 es el puesto natural del caballo d2.,"Respuesta de repertorio: La casilla c4 es el puesto natural del caballo d2. Por eso ...e5 debe valorarse junto con ...Cc6: el centro d5-e5 gana espacio, pero el negro debe estar listo para ...d4 tras c3 y para cambiar un caballo estable en c4. El blanco quiere c3-d4; el negro busca fijar con ...e5 y luego ganar espacio con ...d4 en el momento exacto.",Parada específica sincronizada con la partida modelo y el manual.,RAR-M02-P2
RAR-M02-P3,parada,Parada 3,Parte X · RAR-M02,g1f3 d7d5 g2g3 g8f6 f1g2 g7g6 e1g1 f8g7 d2d3 e8g8 b1d2 c7c5 e2e4 b8c6 f1e1 e7e5 c2c3 d5d4 c3d4 c5d4,r1bq1rk1/pp3pbp/2n2np1/4p3/3pP3/3P1NP1/PP1N1PBP/R1BQR1K1 w - - 0 11,Blancas,"con peón negro en d4, ¿qué maniobra de caballo mantiene el control sin empujar más peones?",intermedio,"Plan rival a anticipar: 11...Ce8 es una maniobra funcional: libera f6, prepara ...Cd6 y apoya f5 si más adelante es seguro.","Respuesta de repertorio: 11...Ce8 es una maniobra funcional: libera f6, prepara ...Cd6 y apoya f5 si más adelante es seguro. El blanco tiene Cc4 atacando e5/d6; el negro no debe responder con ...f5 de inmediato porque abriría el rey y debilitaría e6. El plan es ...Ae6, ...Cd6 y, si el caballo blanco se consolida en c4, ...Cxc4 seguido de una estructura de peones blancos más vulnerable.",Parada específica sincronizada con la partida modelo y el manual.,RAR-M02-P3
RAR-M02-P4,parada,Parada 4,Parte X · RAR-M02,g1f3 d7d5 g2g3 g8f6 f1g2 g7g6 e1g1 f8g7 d2d3 e8g8 b1d2 c7c5 e2e4 b8c6 f1e1 e7e5 c2c3 d5d4 c3d4 c5d4 d2c4 f6e8 a2a4 c8e6 b2b3 e8d6 c1a3 d6c4,r2q1rk1/pp3pbp/2n1b1p1/4p3/P1npP3/BP1P1NP1/5PBP/R2QR1K1 w - - 0 15,Blancas,"tras ...Ae6 y b3, ¿qué cambio estructural busca el negro con ...Cxc4?",intermedio,Plan rival a anticipar: El caballo blanco de c4 es la mejor pieza de bloqueo.,"Respuesta de repertorio: El caballo blanco de c4 es la mejor pieza de bloqueo. ...Cd6 prepara ...Cxc4; tras bxc4 el blanco obtiene un peón c4 que puede ser fijado por ...b6 o atacado por torres. El cambio no se hace por simplificar, sino para transformar una casilla fuerte blanca en un objetivo de peón. Evita ...a6?! si no resuelve la pieza de c4.",Parada específica sincronizada con la partida modelo y el manual.,RAR-M02-P4
RAR-M02-P5,parada,Parada 5,Parte X · RAR-M02,g1f3 d7d5 g2g3 g8f6 f1g2 g7g6 e1g1 f8g7 d2d3 e8g8 b1d2 c7c5 e2e4 b8c6 f1e1 e7e5 c2c3 d5d4 c3d4 c5d4 d2c4 f6e8 a2a4 c8e6 b2b3 e8d6 c1a3 d6c4 b3c4 f8e8 a1b1 d8d7 f3g5 e6g4 f2f3 g4e6,r3r1k1/pp1q1pbp/2n1b1p1/4p1N1/P1PpP3/B2P1PP1/6BP/1R1QR1K1 w - - 1 19,Blancas,"después de ...Qd7 y la maniobra Cg5, ¿qué debe conservar el negro si quiere un final cómodo?",intermedio,Plan rival a anticipar: El negro debe conservar una torre activa en e-file y evitar debilitar la diagonal h3-c8.,"Respuesta de repertorio: El negro debe conservar una torre activa en e-file y evitar debilitar la diagonal h3-c8. ...Ag4 fuerza f3 y vuelve a e6 cuando conviene; después del cambio Cxe6 Txe6, la torre negra queda activa y puede doblarse por e-file. El blanco buscará Bh3 y presión sobre e6. El objetivo del negro en el final es atacar c4/a4 y usar la mayoría de dama, no lanzar peones del rey.",Parada específica sincronizada con la partida modelo y el manual.,RAR-M02-P5
RAR-M03-P1,parada,Parada 1,Parte X · RAR-M03,f2f4 d7d5 g1f3 g8f6 e2e3 g7g6,rnbqkb1r/ppp1pp1p/5np1/3p4/5P2/4PN2/PPPP2PP/RNBQKB1R w KQkq - 0 4,Blancas,"frente a Bird, ¿qué ventaja concreta obtiene 3...g6 antes de ...c5?",intermedio,Plan rival a anticipar: 3...g6 prepara ...Ag7 y el enroque sin comprometer el alfil c8.,"Respuesta de repertorio: 3...g6 prepara ...Ag7 y el enroque sin comprometer el alfil c8. El peón f4 controla e5, de modo que ...e5 inmediato no es el plan. Las negras quieren ...Ag7, ...O-O y luego ...c5 para cuestionar d4. Buscar ...Dh4+ sería una tentación táctica prematura: Cf3 y g3 suelen cubrir el jaque y la dama perdería tiempos.",Parada específica sincronizada con la partida modelo y el manual.,RAR-M03-P1
RAR-M03-P2,parada,Parada 2,Parte X · RAR-M03,f2f4 d7d5 g1f3 g8f6 e2e3 g7g6 b2b3 f8g7 c1b2 e8g8 f1e2 c7c5,rnbq1rk1/pp2ppbp/5np1/2pp4/5P2/1P2PN2/PBPPB1PP/RN1QK2R w KQ c6 0 7,Blancas,"con ...c5 ya jugado, ¿por qué ...Ad7 y ...Tc8 son útiles frente a Ce5?",intermedio,Plan rival a anticipar: Ce5 centraliza el caballo blanco y apoya f5.,"Respuesta de repertorio: Ce5 centraliza el caballo blanco y apoya f5. ...Ad7 desarrolla la pieza peor situada y conecta las torres; ...Tc8 pone una torre en la columna que se abrirá si hay cambios en d4. El negro no debe expulsar Ce5 con ...Cd7 sin calcular, porque puede bloquear el alfil y ceder iniciativa. El objetivo es preparar ...d4 bajo condiciones favorables.",Parada específica sincronizada con la partida modelo y el manual.,RAR-M03-P2
RAR-M03-P3,parada,Parada 3,Parte X · RAR-M03,f2f4 d7d5 g1f3 g8f6 e2e3 g7g6 b2b3 f8g7 c1b2 e8g8 f1e2 c7c5 e1g1 b8c6 f3e5 c8d7 e2f3 a8c8 d2d3 d5d4,2rq1rk1/pp1bppbp/2n2np1/2p1N3/3p1P2/1P1PPB2/PBP3PP/RN1Q1RK1 w - - 0 11,Blancas,"tras ...d4 y exd4 cxd4, ¿qué pieza blanca quieres eliminar y por qué?",intermedio,Plan rival a anticipar: El caballo e5 es el principal bloqueador y atacante.,"Respuesta de repertorio: El caballo e5 es el principal bloqueador y atacante. Tras 11.exd4 cxd4, ...Dd7 o ...Cxd7 según la secuencia deben buscar control de d-file y e5. Cuando 12.Cxd7 Dxd7 elimina una pareja de caballos, el peón d4 queda más difícil de atacar y la dama negra puede coordinar ...Cd5. El blanco quiere Cxc6 y presión sobre d4; el negro quiere convertir d4 en espacio, no en debilidad.",Parada específica sincronizada con la partida modelo y el manual.,RAR-M03-P3
RAR-M03-P4,parada,Parada 4,Parte X · RAR-M03,f2f4 d7d5 g1f3 g8f6 e2e3 g7g6 b2b3 f8g7 c1b2 e8g8 f1e2 c7c5 e1g1 b8c6 f3e5 c8d7 e2f3 a8c8 d2d3 d5d4 e3d4 c5d4 e5d7 d8d7 b1d2 c6d5 f3d5 d7d5,2r2rk1/pp2ppbp/5np1/3q4/3p1P2/1P1P4/PBPN2PP/R2Q1RK1 w - - 0 15,Blancas,"tras el cambio en d5 y ...Dxd5, ¿qué ruptura negra evita que f5 sea la única historia de la posición?",intermedio,Plan rival a anticipar: 15...e5 es central y obliga al blanco a decidir qué hacer con su peón f4.,"Respuesta de repertorio: 15...e5 es central y obliga al blanco a decidir qué hacer con su peón f4. Si 16.f5, ...Ce7 prepara bloqueo y libera c6/d5; si el blanco no avanza, ...exf4 puede cambiar la estructura. La alternativa ...h5?! solo reacciona al ala de rey y deja el centro estático. El principio es responder a un avance de flanco con juego central cuando las piezas lo permiten.",Parada específica sincronizada con la partida modelo y el manual.,RAR-M03-P4
